"ai_id","phone_number","race","age","gender","marital_status","sms_treat","first_name","last_name"
"7d93fddd4aa80078c4d850883296cf80","6292384973","latinx","27","female","married","Treatment","Maria","Salomon"
"28f6de33198c7a088f0ee2254041770f","1455184827","white","28","men","married","Treatment","Joshua","Hogan"
"e2be1187327314e3bbf8557c2cac7bdc","3453612157","white","63","female","married","Placebo","Zachary","Swartwood"
"91f4e598c94e3849587732062efe338e","6429677354","black","48","men","separated","Treatment","Julian","Brown"
"68ee6d0efa447aabacb2791451c33002","9543894379","asian","23","men","married","Placebo","Gurjot","Thong"
"b2c8fe9e58c2a715dab81244a7dd1734","4781794853","latinx","24","female","unmarried","Treatment","Aubree","Rodriguez-Munoz"
"9950c93e9a34573ac99ad4f474131561","2154589645","white","50","men","married","Placebo","Alyssa","Franke"
"8370c9dd1d3ffeb37e621bfa3b422ddb","1675416182","latinx","33","men","unmarried","Treatment","David","Sanchez Silva"
"e29d1027fd7e0c48a30d9b9cce5c70c9","5635787183","black","21","female","married","Placebo","Nia'Imani","Moore"
"f327d7373280d52e9e7382a7894ceca2","6538798537","asian","42","female","unmarried","Placebo","Keith","Lofgren"
"79c8b697211e9a876498489d7c4f33cc","6988127215","white","44","female","married","Placebo","Preet Simran","Winters"
"ee909d9cfb146f66281403a832f90269","1898249345","white","54","female","unmarried","Treatment","Andrew","Harris"
"0d45ba628c5c096f0808eb67bb0c73b9","6944519417","black","73","men","unmarried","Treatment","Angel","Balous"
"00378b1821e5b640d31677feb2318e52","7937455648","black","51","female","unmarried","Treatment","Jacob","Trujillo"
"e1856760720f2eb383fc529de3969654","7927468753","latinx","44","female","unmarried","Treatment","Ilea","Reyes"
"5460ddc4552946d487b52981e78ad269","5622574786","white","49","female","unmarried","Placebo","Abigail","Cota"
"cd43288ca026c7e6e3dd35bf9f76e1ed","1924569713","latinx","27","female","unmarried","Placebo","Jessica","Saiz"
"d5c73b0aeb2abc46a5d81f36cdcc9e81","7594299284","white","35","men","separated","Treatment","Michael","Edwards"
